property_type,society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,bestech park view sanskruti,1.83,sector 92,7870.0,4,3,3,8.0,New Property,2105.0,0,1,0,0,0,1,128.0,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,shree vardhman flora,0.9,sector 90,4615.0,3,4,3,4.0,Relatively New,1765.0,0,1,0,0,0,1,165.0,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,apartment,0.75,sector 92,4687.0,3,4,3,2.0,Moderately Old,1778.0,1,0,0,0,0,1,113.0,"28.4079° N, 76.9153° E",28.4079,76.9153
house,dlf city plots,13.5,sector 26,29880.0,5,5,3,2.0,Old Property,4518.0,1,1,1,1,0,2,110.0,"28.4757° N, 77.1032° E",28.4757,77.1032
flat,emaar mgf emerald floors premier,2.75,sector 65,13924.0,4,4,3,3.0,Relatively New,1975.0,1,1,0,0,0,2,113.0,"28.4030° N, 77.0690° E",28.403,77.069
flat,godrej,1.33,sector 79,8531.0,2,2,3,6.0,Relatively New,1411.0,1,0,0,0,0,1,158.0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,om appartments,0.4,sector 5,4444.0,3,2,1,3.0,Relatively New,1000.0,0,0,0,0,0,1,7.0,"28.4794° N, 77.0176° E",28.4794,77.0176
house,Not Applicable,0.65,sector 105,9028.0,3,2,1,1.0,Relatively New,720.0,0,0,0,1,1,1,14.0,"28.4952° N, 77.0114° E",28.4952,77.0114
house,Not Applicable,2.95,sector 49,16388.0,3,3,3,2.0,Moderately Old,1035.0,0,0,1,0,0,2,81.0,"28.4121° N, 77.0480° E",28.4121,77.048
flat,pyramid urban homes 2,0.41,sector 86,8283.0,2,2,1,7.0,New Property,557.0,1,1,0,1,1,1,49.0,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,orris carnation residency,0.8,sector 85,4857.0,3,4,3,4.0,Relatively New,1390.0,0,1,0,0,0,2,40.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,orris aster court premier,1.38,sector 85,6509.0,3,4,2,6.0,Relatively New,1616.0,0,1,0,0,0,1,76.0,"28.4042° N, 76.9513° E",28.4042,76.9513
house,Not Applicable,4.25,sector 10a,17955.0,4,3,2,1.0,Moderately Old,2367.0,0,0,0,0,0,1,0.0,"28.4469° N, 77.0106° E",28.4469,77.0106
flat,dlf regal gardens,1.65,sector 90,7449.0,4,4,3+,15.0,Relatively New,2214.0,0,0,0,0,0,1,158.0,"28.4085° N, 76.9369° E",28.4085,76.9369
house,Not Applicable,11.58,sector 50,35741.0,5,5,3,2.0,Moderately Old,3240.0,0,1,0,0,0,1,20.0,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,lotus homz,0.5,sector 111,14838.0,1,1,1,2.0,Relatively New,374.0,0,0,0,0,0,0,72.0,"28.5238° N, 77.0320° E",28.5238,77.032
flat,corona gracieux,1.05,sector 76,5949.0,3,3,3+,7.0,Relatively New,1598.0,0,0,0,0,0,2,133.0,"28.3935° N, 76.9888° E",28.3935,76.9888
house,Not Applicable,1.45,sector 25,2984.0,3,3,1,2.0,Old Property,540.0,0,0,0,0,0,1,9.0,"28.4844° N, 77.0860° E",28.4844,77.086
flat,bestech altura,1.9,sector 79,8837.0,3,4,3,11.0,Under Construction,1947.0,0,0,0,0,0,1,96.0,"28.3624° N, 76.9787° E",28.3624,76.9787
house,Not Applicable,5.25,sector 25,38889.0,4,4,3+,2.0,Relatively New,1350.0,0,1,0,1,0,2,72.0,"28.4844° N, 77.0860° E",28.4844,77.086
flat,ansal api celebrity suites,0.6,sector 2,8163.0,1,1,1,5.0,Moderately Old,665.0,0,0,0,0,0,2,88.0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,the close north,2.51,sector 50,11992.0,3,3,3,11.0,Moderately Old,2093.0,0,0,1,1,0,2,109.0,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,m3m the marina,2.22,sector 68,14322.0,3,2,3,4.0,Relatively New,1403.0,0,0,0,0,0,1,44.0,"28.3853° N, 77.0484° E",28.3853,77.0484
flat,m3m heights,2.8,sector 65,15000.0,3,3,3,20.0,Under Construction,1867.0,0,0,0,0,0,1,91.0,"28.4030° N, 77.0690° E",28.403,77.069
flat,sidhartha ncr greens,0.6,sector 95,5576.0,2,2,2,14.0,Relatively New,974.0,1,0,0,0,0,1,31.0,"28.4172° N, 76.9081° E",28.4172,76.9081
house,Not Applicable,9.0,sector 41,27778.0,8,5,3+,3.0,Old Property,3240.0,0,1,1,1,0,2,26.0,"28.4557° N, 77.0632° E",28.4557,77.0632
flat,alpha corp gurgaonone,1.2,sector 84,9448.0,2,2,1,6.0,Relatively New,1150.0,0,0,0,0,0,1,13.0,"28.3979° N, 76.9736° E",28.3979,76.9736
