property_type,society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,tulip violet,1.7,sector 69,10773.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,0.0,South-East,Relatively New,1578.0,,,0,0,0,1,0,1,49.0,526.0
flat,tulip violet,1.6,sector 69,10139.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,0.0,North-West,Relatively New,1578.0,,,0,0,0,1,0,1,166.0,526.0
flat,gls arawali homes,0.35,sohna,6076.0,576.0,Super Built up area 576(53.51 sq.m.),2,2,2,12.0,,New Property,576.0,,,0,0,0,0,0,1,42.0,288.0
flat,my home,0.28,new sector 23,3166.0,884.0,Carpet area: 900 (83.61 sq.m.),2,1,1,2.0,,Relatively New,,,900.0,0,0,0,0,1,1,15.0,442.0
flat,apex our homes,0.35,sector 37c,3783.0,925.0,Super Built up area 925(85.94 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,1,7.0,East,Relatively New,925.0,850.0,800.0,0,0,0,0,0,2,158.0,462.5
house,international city by sobha phase 2,11.25,sector 109,25000.0,4500.0,Plot area 500(418.06 sq.m.),7,5,3+,4.0,North-East,Relatively New,,4500.0,,1,1,0,1,0,1,42.0,642.8571428571429
house,,0.53,sector 7,5888.0,900.0,Built Up area: 900 (83.61 sq.m.),2,2,No,1.0,,Undefined,,900.0,,0,0,0,0,0,1,0.0,450.0
house,vatika india next,6.8,sector 82,20988.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,3.0,North-East,Relatively New,,3240.0,,0,1,0,0,0,0,110.0,810.0
flat,krisumi waterfall residences,2.3,sector 36a,15551.0,1479.0,Built Up area: 1479 (137.4 sq.m.),2,2,2,23.0,,Undefined,,1479.0,,0,0,0,0,0,1,58.0,739.5
house,,1.5,sector 67,8642.0,1736.0,Carpet area: 180 (150.5 sq.m.),5,3,2,2.0,,New Property,,,180.0,0,0,0,0,0,1,0.0,347.2
flat,supertech hues,1.0,sector 68,8474.0,1180.0,Carpet area: 1180 (109.63 sq.m.),2,2,2,12.0,,New Property,,,1180.0,0,0,0,0,0,1,54.0,590.0
flat,maruti kunj,0.8,bhondsi,5161.0,1550.0,Super Built up area 1550(144 sq.m.),3,2,0,0.0,,Old Property,1550.0,,,0,0,0,0,0,1,8.0,516.6666666666666
flat,bestech park view sanskruti,1.83,sector 92,7870.0,2325.0,Super Built up area 2325(216 sq.m.),4,3,3,8.0,East,New Property,2325.0,,,0,1,0,0,0,1,128.0,581.25
flat,shree vardhman flora,0.9,sector 90,4615.0,1950.0,Super Built up area 1950(181.16 sq.m.),3,4,3,4.0,South-West,Relatively New,1950.0,,,0,1,0,0,0,1,165.0,650.0
flat,apartment,0.75,sector 92,4687.0,1600.0,Carpet area: 1600 (148.64 sq.m.),3,4,3,2.0,East,Moderately Old,,,1600.0,1,0,0,0,0,1,113.0,533.3333333333334
house,dlf city plots,13.5,sector 26,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,3,2.0,East,Old Property,,4518.0,,1,1,1,1,0,2,110.0,903.6
flat,emaar mgf emerald floors premier,2.75,sector 65,13924.0,1975.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),4,4,3,3.0,North-West,Relatively New,1975.0,1750.0,1650.0,1,1,0,0,0,2,113.0,493.75
flat,godrej,1.33,sector 79,8531.0,1559.0,Super Built up area 1559(144.84 sq.m.),2,2,3,6.0,North-West,Relatively New,1559.0,,,1,0,0,0,0,1,158.0,779.5
flat,om appartments,0.4,sector 5,4444.0,900.0,Carpet area: 900 (83.61 sq.m.),3,2,1,3.0,,Relatively New,,,900.0,0,0,0,0,0,1,7.0,300.0
house,,0.65,sector 105,9028.0,720.0,Plot area 80(66.89 sq.m.),3,2,1,1.0,East,Relatively New,,720.0,,0,0,0,1,1,1,14.0,240.0
house,,2.95,sector 49,16388.0,1035.0,Plot area 1800(167.23 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,3,3,2.0,North-West,Moderately Old,,1900.0,1850.0,0,0,1,0,0,2,81.0,345.0
flat,pyramid urban homes 2,0.41,sector 86,8283.0,495.0,Carpet area: 501 (46.54 sq.m.),2,2,1,7.0,West,New Property,,,501.0,1,1,0,1,1,1,49.0,247.5
flat,orris carnation residency,0.8,sector 85,4857.0,1647.0,Super Built up area 1645(152.83 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1275 sq.ft. (118.45 sq.m.),3,4,3,4.0,West,Relatively New,1645.0,1390.0,1275.0,0,1,0,0,0,2,40.0,549.0
flat,orris aster court premier,1.38,sector 85,6509.0,2120.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,6.0,North-East,Relatively New,2120.0,1616.0,,0,1,0,0,0,1,76.0,706.6666666666666
house,,4.25,sector 10a,17955.0,2367.0,Built Up area: 2367 (219.9 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,3,2,1.0,North-East,Undefined,,2367.0,1800.0,0,0,0,0,0,1,0.0,591.75
