column_1,column_2,normalized_1,normalized_2,similarity
Sector 55 Metro Station,sector 53 54 metro station,sector 55 metro station,sector 53 54 metro station,93.88
Sector 53 Metro Station,sector 53 54 metro station,sector 53 metro station,sector 53 54 metro station,93.88
euro international school sec 51,euro international school sec 84,euro international school sec 51,euro international school sec 84,93.75
Sapphire 83 Mall,Sapphire 93 Mall,sapphire 83 mall,sapphire 93 mall,93.75
CD International School,DPS International School,cd international school,dps international school,93.62
Southern Peripheral Road,Southern Periphery Road,southern peripheral road,southern periphery road,93.62
International Airport,IG International Airport,international airport,ig international airport,93.33
Golf Course Road,Golf Course Rd,golf course road,golf course rd,93.33
Rapid Metro Sector 56,rapid metro sector 55 56,rapid metro sector 56,rapid metro sector 55 56,93.33
Basai Dhankot Railway Station,Basai Dhancourt Railway Station,basai dhankot railway station,basai dhancourt railway station,93.33
Omaxe City Centre Mall,Omex City Centre Mall,omaxe city centre mall,omex city centre mall,93.02
Sector 86 Road,Sector 84 Road,sector 86 road,sector 84 road,92.86
sector 55 56 metro station,sector 53 54 metro station,sector 55 56 metro station,sector 53 54 metro station,92.31
Amma Hospital,Aman Hospital,amma hospital,aman hospital,92.31
Scottish High International School,Scottish International School,scottish high international school,scottish international school,92.06
Gurgaon Old Railway Station,gurgaon railway station,gurgaon old railway station,gurgaon railway station,92.0
Kings International School,S N International School,kings international school,s n international school,92.0
Gurugram Road,Gurugram Rd,gurugram road,gurugram rd,91.67
"Euro International School, Sector- 109.",euro international school sector 37d,euro international school sector 109,euro international school sector 37d,91.67
"Euro International School, Sector- 109",euro international school sector 37d,euro international school sector 109,euro international school sector 37d,91.67
RPS International School,S N International School,rps international school,s n international school,91.67
Sector 53-54 Rapid Metro,rapid metro sector 55 56,sector 53 54 rapid metro,rapid metro sector 55 56,91.67
Delhi Public School Sector 84,"Delhi Public School, Sector 103",delhi public school sector 84,delhi public school sector 103,91.53
"Delhi Public School, Sector 84","Delhi Public School, Sector 103",delhi public school sector 84,delhi public school sector 103,91.53
RBSM Public school,RHM Public School,rbsm public school,rhm public school,91.43
"Euro International School, Sector- 109.",euro international school sec 51,euro international school sector 109,euro international school sec 51,91.18
"Euro International School, Sector- 109",euro international school sec 51,euro international school sector 109,euro international school sec 51,91.18
Pataudi road,Pataudi Rd,pataudi road,pataudi rd,90.91
NH 48,NH 248,nh 48,nh 248,90.91
NH-48,NH 248,nh 48,nh 248,90.91
Pataudi Road,Pataudi Rd,pataudi road,pataudi rd,90.91
BM College of Technology & Mgmt,BM College of Technology,bm college of technology mgmt,bm college of technology,90.57
Delhi International Airport,IG International Airport,delhi international airport,ig international airport,90.2
Vatika Town Square-INXT,Vatika Town Square-INXT Mall,vatika town square inxt,vatika town square inxt mall,90.2
Gaytri Public School,Garima Public School,gaytri public school,garima public school,90.0
Sector 53 Metro Station,Sector 42-43 Metro station,sector 53 metro station,sector 42 43 metro station,89.8
Sector 53 Metro Station,sector 55 56 metro station,sector 53 metro station,sector 55 56 metro station,89.8
GEMS International School,DPS International School,gems international school,dps international school,89.8
DPS International School,Gems International School,dps international school,gems international school,89.8
Sector 53 Metro Station,Sector 42-43 Metro Station,sector 53 metro station,sector 42 43 metro station,89.8
Sector 42-43 Metro station,Sector 42-43 Rapid Metro Station,sector 42 43 metro station,sector 42 43 rapid metro station,89.66
Sapphire Mall,Sapphire 93 Mall,sapphire mall,sapphire 93 mall,89.66
Sector 42-43 Metro Station,Sector 42-43 Rapid Metro Station,sector 42 43 metro station,sector 42 43 rapid metro station,89.66
Sapphire 83 Mall,Sapphire Mall,sapphire 83 mall,sapphire mall,89.66
rapid metro station sector 55 56,sector 55 56 metro station,rapid metro station sector 55 56,sector 55 56 metro station,89.66
Indira Gandhi Intl Airport,indira gandhi airport,indira gandhi intl airport,indira gandhi airport,89.36
Sneh Hospital,Sethi Hospital,sneh hospital,sethi hospital,88.89
Damdama Lake Rd,Damdama Lake,damdama lake rd,damdama lake,88.89
Park Hospital,paras hospital,park hospital,paras hospital,88.89
NH-48,NH 8,nh 48,nh 8,88.89
Aryan Hospital,Aman Hospital,aryan hospital,aman hospital,88.89
Southern Peripheral Rd,Southern Periphery Road,southern peripheral rd,southern periphery road,88.89
NH 08,NH-8,nh 08,nh 8,88.89
NH -8,NH 08,nh 8,nh 08,88.89
Sohna Road,Sohna Rd,sohna road,sohna rd,88.89
Sector 53-54 Rapid Metro,Rapid Metro Sector 56,sector 53 54 rapid metro,rapid metro sector 56,88.89
NH 48,NH 8,nh 48,nh 8,88.89
NH-8,NH-48,nh 8,nh 48,88.89
NH 48,NH-8,nh 48,nh 8,88.89
NH 48,NH -8,nh 48,nh 8,88.89
NH -8,NH-48,nh 8,nh 48,88.89
NH 08,NH 8,nh 08,nh 8,88.89
Miracles Apollo Cradle /Spectra Hospital,miracles apollo cradle hospital,miracles apollo cradle spectra hospital,miracles apollo cradle hospital,88.57
Rapid Metro Station Sector 56,Sector 42-43 Rapid Metro Station,rapid metro station sector 56,sector 42 43 rapid metro station,88.52
Adarsh Senior Secondary School,Jhankar Senior Secondary School,adarsh senior secondary school,jhankar senior secondary school,88.52
RPS International School,Lancers International School,rps international school,lancers international school,88.46
Sector 42-43 Metro station,sector 53 54 metro station,sector 42 43 metro station,sector 53 54 metro station,88.46
Sector 42-43 Metro Station,sector 53 54 metro station,sector 42 43 metro station,sector 53 54 metro station,88.46
Lancers International School,S N International School,lancers international school,s n international school,88.46
Gurugram University,"IILM University, Gurugram",gurugram university,iilm university gurugram,88.37
"Dwarka Expy, Sector 109","Dwarka Expy, Sector 88",dwarka expy sector 109,dwarka expy sector 88,88.37
"Euro International School, Sector- 109.",euro international school sec 84,euro international school sector 109,euro international school sec 84,88.24
DLF World Tech Park,World Tech Park,dlf world tech park,world tech park,88.24
euro international school sec 84,euro international school sector 37d,euro international school sec 84,euro international school sector 37d,88.24
euro international school sec 51,euro international school sector 37d,euro international school sec 51,euro international school sector 37d,88.24
"Euro International School, Sector- 109",euro international school sec 84,euro international school sector 109,euro international school sec 84,88.24
Heritage Xperiential Learning School,Heritage Intl Xperiential School,heritage xperiential learning school,heritage intl xperiential school,88.24
Arc Multi Speciality Hospital,Anand Multispeciality Hospital,arc multi speciality hospital,anand multispeciality hospital,88.14
Euro International School,Gems International School,euro international school,gems international school,88.0
Southern Peripheral Rd,"Southern Peripheral Rd, Dhani",southern peripheral rd,southern peripheral rd dhani,88.0
RPS International School,Ompee International School,rps international school,ompee international school,88.0
Euro International School,GEMS International School,euro international school,gems international school,88.0
RPS International School,Kings International School,rps international school,kings international school,88.0
Global city centre,Global City Centre Mall,global city centre,global city centre mall,87.8
Global City Centre,Global City Centre Mall,global city centre,global city centre mall,87.8
Vatika City Centre,Vatika City Centre Mall,vatika city centre,vatika city centre mall,87.8
Vatika Town Square-INXT,Vatika Town Square,vatika town square inxt,vatika town square,87.8
Euro International School,euro international school sec 51,euro international school,euro international school sec 51,87.72
Euro International School,euro international school sec 84,euro international school,euro international school sec 84,87.72
Sector 42-43 Rapid Metro Station,rapid metro station sector 55 56,sector 42 43 rapid metro station,rapid metro station sector 55 56,87.5
Bank Of Baroda,Bank Of Baroda ATM,bank of baroda,bank of baroda atm,87.5
Euro International School,CD International School,euro international school,cd international school,87.5
Holiday Inn Sector 90,Holiday Inn Hotel Sector 90,holiday inn sector 90,holiday inn hotel sector 90,87.5
