column_1,column_2,normalized_1,normalized_2,similarity
CD International School,Kings International School,cd international school,kings international school,81.63
The Shriram Millennium School,the millenium school,the shriram millennium school,the millenium school,81.63
Arc Multi Speciality Hospital,Arc Multi Speciality,arc multi speciality hospital,arc multi speciality,81.63
Euro International School,S N International School,euro international school,s n international school,81.63
Ompee International School,CD International School,ompee international school,cd international school,81.63
GEMS International School,S N International School,gems international school,s n international school,81.63
Gems International School,S N International School,gems international school,s n international school,81.63
Vatika Business Park,VATIKA BUSINESS PARK Sohna Rd,vatika business park,vatika business park sohna rd,81.63
Imt Manesar,NH-8 IMT Manesar,imt manesar,nh 8 imt manesar,81.48
Imt Manesar,"NH-8, Imt Manesar",imt manesar,nh 8 imt manesar,81.48
Amma Hospital,ektaa hospital,amma hospital,ektaa hospital,81.48
Amma Hospital,aarvy hospital,amma hospital,aarvy hospital,81.48
Eros City Square,City Square,eros city square,city square,81.48
City Hospital,Civil Hospital,city hospital,civil hospital,81.48
Imt Manesar,"NH-8, IMT Manesar",imt manesar,nh 8 imt manesar,81.48
Aryan Hospital,Amma Hospital,aryan hospital,amma hospital,81.48
Ap Sports cricket ground,Sai Sports Club cricket ground,ap sports cricket ground,sai sports club cricket ground,81.48
Aman Hospital,ektaa hospital,aman hospital,ektaa hospital,81.48
IMT Manesar,NH-8 IMT Manesar,imt manesar,nh 8 imt manesar,81.48
Park Hospital,Tomar Hospital,park hospital,tomar hospital,81.48
Sapphire 83 Mall,Sapphire 83,sapphire 83 mall,sapphire 83,81.48
IMT Manesar,"NH-8, Imt Manesar",imt manesar,nh 8 imt manesar,81.48
Ompee International School,Lancers International School,ompee international school,lancers international school,81.48
Aman Hospital,aarvy hospital,aman hospital,aarvy hospital,81.48
IMT Manesar,"NH-8, IMT Manesar",imt manesar,nh 8 imt manesar,81.48
"Metro Hospital, Palam Vihar","Manipal Hospital, Palam Vihar",metro hospital palam vihar,manipal hospital palam vihar,81.48
Sector 54 Chowk Metro Station,Dwarka sector 21 metro station,sector 54 chowk metro station,dwarka sector 21 metro station,81.36
"Southern Peripheral Rd, Gurugram","Southern Peripheral Rd, Dhani",southern peripheral rd gurugram,southern peripheral rd dhani,81.36
"Dwarka Sector 21, Metro Station",Sector 54 Chowk Metro Station,dwarka sector 21 metro station,sector 54 chowk metro station,81.36
Sector 54 Chowk Metro Station,Dwarka Sector 21 Metro station,sector 54 chowk metro station,dwarka sector 21 metro station,81.36
Dwarka Sector 21 Metro Station,Sector 54 Chowk Metro Station,dwarka sector 21 metro station,sector 54 chowk metro station,81.36
TERI Golf Course,Golf Course Road,teri golf course,golf course road,81.25
Vardaan Hospital,Vibrant Hospital,vardaan hospital,vibrant hospital,81.25
Vishwas Hospital,Swastik Hospital,vishwas hospital,swastik hospital,81.25
Greenway Hospital,Enkays Hospital,greenway hospital,enkays hospital,81.25
Sushant University,SGT University,sushant university,sgt university,81.25
Sushant University,SGT UNIVERSITY,sushant university,sgt university,81.25
Medanta Hospital,Manipal Hospital,medanta hospital,manipal hospital,81.25
Bharat Petrol Pump,HP Petrol Pump,bharat petrol pump,hp petrol pump,81.25
Amity University,ICFAI University,amity university,icfai university,81.25
Hyatt Regency,Hyatt Regency Hotel,hyatt regency,hyatt regency hotel,81.25
Spaze Itech Park,Spazedge IT Park,spaze itech park,spazedge it park,81.25
Krishna Hospital,Vishwas Hospital,krishna hospital,vishwas hospital,81.25
Golf Course Road,Teri Golf Course,golf course road,teri golf course,81.25
DLF Corporate Park,Eros Corporate Park,dlf corporate park,eros corporate park,81.08
Rotary Public School,RHM Public School,rotary public school,rhm public school,81.08
Huda metro station,Basai Metro Station,huda metro station,basai metro station,81.08
Huda Metro Station,Basai Metro Station,huda metro station,basai metro station,81.08
MDS Public School,Garima Public School,mds public school,garima public school,81.08
Basai Metro Station,Huda Metro station,basai metro station,huda metro station,81.08
Basai Metro Station,HUDA Metro Station,basai metro station,huda metro station,81.08
"HUDA Market, Sector 14",Sector 10 Market,huda market sector 14,sector 10 market,81.08
"Manipal Hospital, Gurugram",Gurugram Hospital,manipal hospital gurugram,gurugram hospital,80.95
CK Birla Hospital,"CK Birla Hospital, Gurgaon",ck birla hospital,ck birla hospital gurgaon,80.95
Phase 2 Metro Station,propose metro station,phase 2 metro station,propose metro station,80.95
Vatika Business Centre,Vatika Business Park,vatika business centre,vatika business park,80.95
Patli Railway Station,Kheri Railway station,patli railway station,kheri railway station,80.95
Gurugram Public School,Garima Public School,gurugram public school,garima public school,80.95
Delhi Jaipur Expressway,delhi gurgaon expressway,delhi jaipur expressway,delhi gurgaon expressway,80.85
Central Peripheral Road,Northern Peripheral Road,central peripheral road,northern peripheral road,80.85
Faridabad Gurgaon Road,Gurgaon Faridabad Highway,faridabad gurgaon road,gurgaon faridabad highway,80.85
Faridabad - Gurgaon Road,Gurgaon Faridabad Highway,faridabad gurgaon road,gurgaon faridabad highway,80.85
Gurugram University,Gurugram University Kankrola,gurugram university,gurugram university kankrola,80.85
Delhi - Jaipur Expressway,delhi gurgaon expressway,delhi jaipur expressway,delhi gurgaon expressway,80.85
DoubleTree by Hilton Hotel,Double Tree by Hilton,doubletree by hilton hotel,double tree by hilton,80.85
Delhi-Mumbai Expressway,delhi gurgaon expressway,delhi mumbai expressway,delhi gurgaon expressway,80.85
Ompee International School,Kings International School,ompee international school,kings international school,80.77
"IILM University, Gurugram",Gurugram University Kankrola,iilm university gurugram,gurugram university kankrola,80.77
Flying Wings Badminton Academy,Infinitys Badminton Academy,flying wings badminton academy,infinitys badminton academy,80.7
Scottish International School,Windsor International School,scottish international school,windsor international school,80.7
InfinityS Badminton Academy,Flying Wings Badminton Academy,infinitys badminton academy,flying wings badminton academy,80.7
Radisson Hotel Gurugram Sohna Road,Radisson Hotel Gurugram,radisson hotel gurugram sohna road,radisson hotel gurugram,80.7
Ashoka International School,Broadways International School,ashoka international school,broadways international school,80.7
Indira Gandhi International Airport,Delhi International Airport,indira gandhi international airport,delhi international airport,80.65
Park Hospital,K.D. Hospital,park hospital,k d hospital,80.0
Artemis Hospital Gurgaon,artemis hospital,artemis hospital gurgaon,artemis hospital,80.0
City Hospital,Arc Hospital,city hospital,arc hospital,80.0
Omaxe City Centre Mall,Vatika City Centre Mall,omaxe city centre mall,vatika city centre mall,80.0
Spectra Hospital,paras hospital,spectra hospital,paras hospital,80.0
Park Hospital,MKD Hospital,park hospital,mkd hospital,80.0
SPM Hospital,Sneh Hospital,spm hospital,sneh hospital,80.0
Rapid Metro Station Sector 56,sector 53 54 metro station,rapid metro station sector 56,sector 53 54 metro station,80.0
Park Hospital,SPM Hospital,park hospital,spm hospital,80.0
YES bank ATM,YES Bank,yes bank atm,yes bank,80.0
Spectra Hospital,Sethi Hospital,spectra hospital,sethi hospital,80.0
Gems International School,Broadways International School,gems international school,broadways international school,80.0
IMT Road,MG Road,imt road,mg road,80.0
NH 148A,nh 248 a,nh 148a,nh 248 a,80.0
Swastik Hospital,Sethi Hospital,swastik hospital,sethi hospital,80.0
Sohna Gurgaon Road,Gurgaon Road,sohna gurgaon road,gurgaon road,80.0
Polaris Hospital,Tomar Hospital,polaris hospital,tomar hospital,80.0
YES Bank ATM,Yes Bank,yes bank atm,yes bank,80.0
YES Bank ATM,YES Bank,yes bank atm,yes bank,80.0
Umkal Hospital,Manipal Hospital,umkal hospital,manipal hospital,80.0
Alpine Hospital,Balaji Hospital,alpine hospital,balaji hospital,80.0
Kings International School,DPS International School,kings international school,dps international school,80.0
HUDA Market,Huda Park,huda market,huda park,80.0
Omaxe City Centre,Global City Centre,omaxe city centre,global city centre,80.0
Signature Hospital,Signature Advanced Hospital,signature hospital,signature advanced hospital,80.0
Manipal Hospital,Kamal Hospital,manipal hospital,kamal hospital,80.0
Omaxe City Centre,Global city centre,omaxe city centre,global city centre,80.0
Yes Bank,YES bank ATM,yes bank,yes bank atm,80.0
Arc Hospital,ESIC Hospital,arc hospital,esic hospital,80.0
Mamta Hospital,Manipal Hospital,mamta hospital,manipal hospital,80.0
Arc Hospital,Aman Hospital,arc hospital,aman hospital,80.0
Arc Hospital,ESIC HOSPITAL,arc hospital,esic hospital,80.0
Vatika Business Park Sector 49,Vatika Business Park,vatika business park sector 49,vatika business park,80.0
Amity University,SGT UNIVERSITY,amity university,sgt university,80.0
Cambridge Montessori,Cambridge Montessori Preschool,cambridge montessori,cambridge montessori preschool,80.0
Capital Business Park,Emaar Business Park,capital business park,emaar business park,80.0
Bharat Petrol Pump,Essar Petrol Pump,bharat petrol pump,essar petrol pump,80.0
NH 248,NH 8,nh 248,nh 8,80.0
Vipul Trade Business Centre,Vipul Trade Centre,vipul trade business centre,vipul trade centre,80.0
Sector 53 Metro Station,rapid metro station sector 55 56,sector 53 metro station,rapid metro station sector 55 56,80.0
Gurugram Road,Gurgaon Road,gurugram road,gurgaon road,80.0
Sector 53 Metro Station,Sector 42-43 Rapid Metro Station,sector 53 metro station,sector 42 43 rapid metro station,80.0
Faridabad - Gurgaon Rd,Gurgaon Faridabad Highway,faridabad gurgaon rd,gurgaon faridabad highway,80.0
RPS International School Sector 89,euro international school sector 37d,rps international school sector 89,euro international school sector 37d,80.0
Southern Peripheral Road,"Southern Peripheral Rd, Gurugram",southern peripheral road,southern peripheral rd gurugram,80.0
TERI Golf Course,Manesar Golf Course,teri golf course,manesar golf course,80.0
Bal Bharati Public School,Gyan Bharti Public School,bal bharati public school,gyan bharti public school,80.0
Delhi Public School,Diamond Public School,delhi public school,diamond public school,80.0
NH -8,NH 248,nh 8,nh 248,80.0
Sahara Mall,Star Mall,sahara mall,star mall,80.0
Aatish Hospital,Ananta Hospital,aatish hospital,ananta hospital,80.0
Aatish Hospital,Fortis hospital,aatish hospital,fortis hospital,80.0
Aatish Hospital,Balaji Hospital,aatish hospital,balaji hospital,80.0
Paras Trinity Mall,Paras Trinity Shopping Mall,paras trinity mall,paras trinity shopping mall,80.0
NH-8,NH 248,nh 8,nh 248,80.0
NH 48,NH 08,nh 48,nh 08,80.0
GEMS International School,Broadways International School,gems international school,broadways international school,80.0
Vardaan Hospital,paras hospital,vardaan hospital,paras hospital,80.0
Garima Public School,Gyan Bharti Public School,garima public school,gyan bharti public school,80.0
Holiday Inn Gurugram Sector 90,Holiday Inn Gurugram,holiday inn gurugram sector 90,holiday inn gurugram,80.0
NH 08,NH-48,nh 08,nh 48,80.0
Shopping complex,Suncity Shopping Complex,shopping complex,suncity shopping complex,80.0
Amma Hospital,Arc Hospital,amma hospital,arc hospital,80.0
Krishna Hospital,Kriti Hospital,krishna hospital,kriti hospital,80.0
NH48,NH248A,nh48,nh248a,80.0
SGT University,Amity University,sgt university,amity university,80.0
Manesar Golf Course,Teri Golf Course,manesar golf course,teri golf course,80.0
Ompee International School,DPS International School,ompee international school,dps international school,80.0
Delhi Public School Sector 84,Delhi Public School Gurugram Sector 67A,delhi public school sector 84,delhi public school gurugram sector 67a,79.41
Shri Balaji’s Multispeciality Hospital,Anand Multispeciality Hospital,shri balaji’s multispeciality hospital,anand multispeciality hospital,79.41
"Delhi Public School, Sector 84",Delhi Public School Gurugram Sector 67A,delhi public school sector 84,delhi public school gurugram sector 67a,79.41
"Southern Peripheral Rd, Gurugram","Western Peripheral Expy, Gurugram",southern peripheral rd gurugram,western peripheral expy gurugram,79.37
Prime Scholars International School,Lancers International School,prime scholars international school,lancers international school,79.37
Sector 42-43 Rapid Metro Station,sector 53 54 metro station,sector 42 43 rapid metro station,sector 53 54 metro station,79.31
ORCHIDS The International School,Kings International School,orchids the international school,kings international school,79.31
Rapid Metro Station Sector 56,rapid metro sector 55 56,rapid metro station sector 56,rapid metro sector 55 56,79.25
"Dwarka Sector 21, Metro Station",Sector 55 Metro Station,dwarka sector 21 metro station,sector 55 metro station,79.25
Bijwasan Railway Station,Basai Dhankot Railway Station,bijwasan railway station,basai dhankot railway station,79.25
"Dwarka Sector 21, Metro Station",Sector 53 Metro Station,dwarka sector 21 metro station,sector 53 metro station,79.25
Rapid Metro Sector 56,rapid metro station sector 55 56,rapid metro sector 56,rapid metro station sector 55 56,79.25
"Park Hospital, Palam Vihar","Manipal Hospital, Palam Vihar",park hospital palam vihar,manipal hospital palam vihar,79.25
Sector 55 Metro Station,Dwarka sector 21 metro station,sector 55 metro station,dwarka sector 21 metro station,79.25
Sector 53 Metro Station,Dwarka Sector 21 Metro station,sector 53 metro station,dwarka sector 21 metro station,79.25
Sector 55 Metro Station,Dwarka Sector 21 Metro station,sector 55 metro station,dwarka sector 21 metro station,79.25
Sector 53 Metro Station,Dwarka sector 21 metro station,sector 53 metro station,dwarka sector 21 metro station,79.25
Dwarka Sector 21 Metro Station,Sector 53 Metro Station,dwarka sector 21 metro station,sector 53 metro station,79.25
Dwarka Sector 21 Metro Station,Sector 55 Metro Station,dwarka sector 21 metro station,sector 55 metro station,79.25
Delhi Public School,Delhi Public School Sector 84,delhi public school,delhi public school sector 84,79.17
GD Goenka Public School,Green Field Public School,gd goenka public school,green field public school,79.17
Delhi Public School,"Delhi Public School, Sector 84",delhi public school,delhi public school sector 84,79.17
Gurugram University,Gurugram University Sector 87,gurugram university,gurugram university sector 87,79.17
Gurugram University,"GD Goenka University, Gurugram",gurugram university,gd goenka university gurugram,79.17
Ambience Public School,Diamond Public School,ambience public school,diamond public school,79.07
Nischay Cricket Academy,Cricket Academy,nischay cricket academy,cricket academy,78.95
Skylark Cricket Academy,Cricket Academy,skylark cricket academy,cricket academy,78.95
RBSM Public school,Rotary Public School,rbsm public school,rotary public school,78.95
AIPL Business Club,AIPL Business Centre,aipl business club,aipl business centre,78.95
Dwarka Sector 21,"Dwarka Expy, Sector 109",dwarka sector 21,dwarka expy sector 109,78.95
DLF Corporate Greens,DLF Corporate Park,dlf corporate greens,dlf corporate park,78.95
The Paras World School,Mps World School,the paras world school,mps world school,78.95
Sohna road dhunela,Old Sohna Dhani Road,sohna road dhunela,old sohna dhani road,78.95
KFG sports club Parking,KFG Sports Club,kfg sports club parking,kfg sports club,78.95
Omaxe City Centre,Omex City Centre Mall,omaxe city centre,omex city centre mall,78.95
Swastik Multispeciality Hospital,Silver Streak Multi Speciality Hospital,swastik multispeciality hospital,silver streak multi speciality hospital,78.87
Manesar Golf Course,Golf Course Rd,manesar golf course,golf course rd,78.79
Golf Course Rd,golf corse ext road,golf course rd,golf corse ext road,78.79
RPS International School Sector 89,euro international school sec 84,rps international school sector 89,euro international school sec 84,78.79
Western Peripheral Expressway,"Western Peripheral Expy, Gurugram",western peripheral expressway,western peripheral expy gurugram,78.69
Swastik Multispeciality Hospital,Arc Multi Speciality Hospital,swastik multispeciality hospital,arc multi speciality hospital,78.69
Kamal Hospital,Tomar Hospital,kamal hospital,tomar hospital,78.57
ektaa hospital,aarvy hospital,ektaa hospital,aarvy hospital,78.57
Dwarka Sector 21 Metro Station,sector 55 56 metro station,dwarka sector 21 metro station,sector 55 56 metro station,78.57
Amma Hospital,Balaji Hospital,amma hospital,balaji hospital,78.57
City Hospital,Chirag Hospital,city hospital,chirag hospital,78.57
Dwarka Sector 21 Metro station,sector 55 56 metro station,dwarka sector 21 metro station,sector 55 56 metro station,78.57
Amma Hospital,Ananta Hospital,amma hospital,ananta hospital,78.57
Umkal Hospital,Tomar Hospital,umkal hospital,tomar hospital,78.57
Dwarka Sector 21 Metro station,sector 53 54 metro station,dwarka sector 21 metro station,sector 53 54 metro station,78.57
Sneh Hospital,Shivai Hospital,sneh hospital,shivai hospital,78.57
Aman Hospital,Balaji Hospital,aman hospital,balaji hospital,78.57
Dwarka Sector 21 Metro Station,sector 53 54 metro station,dwarka sector 21 metro station,sector 53 54 metro station,78.57
Alpine Hospital,Aman Hospital,alpine hospital,aman hospital,78.57
Mamta Hospital,Umkal Hospital,mamta hospital,umkal hospital,78.57
Mamta Hospital,Tomar Hospital,mamta hospital,tomar hospital,78.57
Mamta Hospital,paras hospital,mamta hospital,paras hospital,78.57
Kamal Hospital,paras hospital,kamal hospital,paras hospital,78.57
Vega Schools NH-8,Vega School,vega schools nh 8,vega school,78.57
SGT Hospital 1,Sethi Hospital,sgt hospital 1,sethi hospital,78.57
Tomar Hospital,paras hospital,tomar hospital,paras hospital,78.57
Enkays Hospital,ESIC HOSPITAL,enkays hospital,esic hospital,78.57
"Dwarka Sector 21, Metro Station",sector 53 54 metro station,dwarka sector 21 metro station,sector 53 54 metro station,78.57
Aatish Hospital,Amma Hospital,aatish hospital,amma hospital,78.57
"Dwarka Sector 21, Metro Station",sector 55 56 metro station,dwarka sector 21 metro station,sector 55 56 metro station,78.57
Medanta Hospital,MKD Hospital,medanta hospital,mkd hospital,78.57
SPM Hospital,Spectra Hospital,spm hospital,spectra hospital,78.57
Arc Hospital,artemis hospital,arc hospital,artemis hospital,78.57
Sethi Hospital,Vedic Hospital,sethi hospital,vedic hospital,78.57
Sethi Hospital,Kriti Hospital,sethi hospital,kriti hospital,78.57
Dwarka sector 21 metro station,sector 55 56 metro station,dwarka sector 21 metro station,sector 55 56 metro station,78.57
Aryan Hospital,ektaa hospital,aryan hospital,ektaa hospital,78.57
Dwarka sector 21 metro station,sector 53 54 metro station,dwarka sector 21 metro station,sector 53 54 metro station,78.57
Aatish Hospital,Aman Hospital,aatish hospital,aman hospital,78.57
ORCHIDS The International School,S N International School,orchids the international school,s n international school,78.57
Sector 53-54 Rapid Metro,rapid metro station sector 55 56,sector 53 54 rapid metro,rapid metro station sector 55 56,78.57
Enkays Hospital,ESIC Hospital,enkays hospital,esic hospital,78.57
"Park Hospital, Palam Vihar","Metro Hospital, Palam Vihar",park hospital palam vihar,metro hospital palam vihar,78.43
"Southern Peripheral Rd, Dhani",Southern Periphery Road,southern peripheral rd dhani,southern periphery road,78.43
Ompee International School,Euro International School,ompee international school,euro international school,78.43
Ompee International School,Gems International School,ompee international school,gems international school,78.43
Kings International School,Gems International School,kings international school,gems international school,78.43
CD International School,Windsor International School,cd international school,windsor international school,78.43
Euro International School,Kings International School,euro international school,kings international school,78.43
CD International School,Lancers International School,cd international school,lancers international school,78.43
Ompee International School,GEMS International School,ompee international school,gems international school,78.43
GEMS International School,Kings International School,gems international school,kings international school,78.43
Ashoka International School,S N International School,ashoka international school,s n international school,78.43
RPS International School,Ashoka International School,rps international school,ashoka international school,78.43
Skylark Cricket Academy,Nischay Cricket Academy,skylark cricket academy,nischay cricket academy,78.26
ICICI Bank ATM,ICICI ATM,icici bank atm,icici atm,78.26
AIPL Business Club Sector 62,AIPL Business Club,aipl business club sector 62,aipl business club,78.26
National Tennis Academy,Creative Tennis Academy,national tennis academy,creative tennis academy,78.26
"Delhi Public School, Sector 103",Delhi Public School Gurugram Sector 67A,delhi public school sector 103,delhi public school gurugram sector 67a,78.26
Plaza Mall,Emerald Plaza,plaza mall,emerald plaza,78.26
Miracles Apollo Hospital,Miracles Apollo Cradle,miracles apollo hospital,miracles apollo cradle,78.26
DSD College,ISBM College,dsd college,isbm college,78.26
Bharat Petrol Pump,Bharat Petroleum Petrol Pump,bharat petrol pump,bharat petroleum petrol pump,78.26
Vatika Town Square-INXT Mall,Vatika Town Square,vatika town square inxt mall,vatika town square,78.26
Paras Trinity Mall Sector 63,Paras Trinity Mall,paras trinity mall sector 63,paras trinity mall,78.26
Garima Public School,Diamond Public School,garima public school,diamond public school,78.05
Fun N Food Waterpark,Fun N Food Water Park,fun n food waterpark,fun n food water park,78.05
Capital Business Park,Orchid Business Park,capital business park,orchid business park,78.05
RBSM Public school,Red Roses Public School,rbsm public school,red roses public school,78.05
Central Park Resorts,"Central Park, Sohna Rd",central park resorts,central park sohna rd,78.05
"Central Park, Sohna Rd",Central Park II Road,central park sohna rd,central park ii road,78.05
"Manipal Hospital, Gurugram",Manipal Hospital,manipal hospital gurugram,manipal hospital,78.05
Fun N Food Water Park,Fun N Food WaterPark,fun n food water park,fun n food waterpark,78.05
Aarvy Healthcare Hospital,Aarvy Healthcare,aarvy healthcare hospital,aarvy healthcare,78.05
DPSG Palam Vihar,DPSG Palam Vihar Gurugram,dpsg palam vihar,dpsg palam vihar gurugram,78.05
Ambience Public School,Lions Public School,ambience public school,lions public school,78.05
Amity University Gurugram,Amity University,amity university gurugram,amity university,78.05
McDonald's India 24 Hours,McDonald's India,mcdonald's india 24 hours,mcdonald's india,78.05
Indira Gandhi International Airport,IG International Airport,indira gandhi international airport,ig international airport,77.97
Vatika Business Park Sector 49,VATIKA BUSINESS PARK Sohna Rd,vatika business park sector 49,vatika business park sohna rd,77.97
Prime Scholars International School,S N International School,prime scholars international school,s n international school,77.97
RPS International School,Prime Scholars International School,rps international school,prime scholars international school,77.97
Sushant University,Sunrise University,sushant university,sunrise university,77.78
CBR Cricket Ground,DLC Cricket Ground,cbr cricket ground,dlc cricket ground,77.78
Krishna Hospital,W Pratiksha Hospital,krishna hospital,w pratiksha hospital,77.78
Airport,igi airport,airport,igi airport,77.78
Sector 53 Metro Station,Approved Sector 37 Mero Station,sector 53 metro station,approved sector 37 mero station,77.78
Amity University Gurugram,"GD Goenka University, Gurugram",amity university gurugram,gd goenka university gurugram,77.78
Suncity School,Suncity School Gurgaon,suncity school,suncity school gurgaon,77.78
Mount Olympus Junior School,"Mount Olympus School, Sec 79",mount olympus junior school,mount olympus school sec 79,77.78
Scottish High International School,Shalom Hills International School,scottish high international school,shalom hills international school,77.61
Shri Balaji’s Multispeciality Hospital,Arc Multi Speciality Hospital,shri balaji’s multispeciality hospital,arc multi speciality hospital,77.61
Delhi Public School,"Delhi Public School, Sector 103",delhi public school,delhi public school sector 103,77.55
Amity University Gurugram,"IILM University, Gurugram",amity university gurugram,iilm university gurugram,77.55
Amma Hospital,Badsa AMS Hospital,amma hospital,badsa ams hospital,77.42
Polaris Hospital,rion's hospital,polaris hospital,rion's hospital,77.42
Essar Petrol Pump,HP Petrol Pump,essar petrol pump,hp petrol pump,77.42
Aman Hospital,Badsa AMS Hospital,aman hospital,badsa ams hospital,77.42
Signature Hospital,Sneh Hospital,signature hospital,sneh hospital,77.42
Genesis Hospital,Enkays Hospital,genesis hospital,enkays hospital,77.42
Swastik Multispeciality Hospital,Anand Multispeciality Hospital,swastik multispeciality hospital,anand multispeciality hospital,77.42
Anand Preschool,Gyaananda School,anand preschool,gyaananda school,77.42
RPS International School Sector 89,Windsor International School,rps international school sector 89,windsor international school,77.42
Krishna Hospital,rion's hospital,krishna hospital,rion's hospital,77.42
Central Plaza Mall,Centrum Plaza,central plaza mall,centrum plaza,77.42
Swastik Hospital,Shivai Hospital,swastik hospital,shivai hospital,77.42
Vishwas Hospital,Shivai Hospital,vishwas hospital,shivai hospital,77.42
Krishna Hospital,Shivai Hospital,krishna hospital,shivai hospital,77.42
Shivani public school,"KDM Public School, Sohna",shivani public school,kdm public school sohna,77.27
Phase 2 Metro Station,Sector 55 Metro Station,phase 2 metro station,sector 55 metro station,77.27
Phase 2 Metro Station,Sector 53 Metro Station,phase 2 metro station,sector 53 metro station,77.27
Bal Bharati Public School,Delhi Public School,bal bharati public school,delhi public school,77.27
Kheri Railway station,gurgaon railway station,kheri railway station,gurgaon railway station,77.27
De Adventure Park,De Adventure Amusement Park,de adventure park,de adventure amusement park,77.27
Omex City Centre Mall,Vatika City Centre Mall,omex city centre mall,vatika city centre mall,77.27
Patli Railway Station,gurgaon railway station,patli railway station,gurgaon railway station,77.27
"Dwarka Expy, Sector 109",Sector-21 Metro Dwarka,dwarka expy sector 109,sector 21 metro dwarka,77.27
GD Goenka Public School,Diamond Public School,gd goenka public school,diamond public school,77.27
Gems International School,euro international school sec 84,gems international school,euro international school sec 84,77.19
Approved Sector 37 Mero Station,sector 53 54 metro station,approved sector 37 mero station,sector 53 54 metro station,77.19
RPS International School,Pranavananda International School,rps international school,pranavananda international school,77.19
Pranavananda International School,S N International School,pranavananda international school,s n international school,77.19
GEMS International School,euro international school sec 51,gems international school,euro international school sec 51,77.19
Shalom Hills International School,DPS International School,shalom hills international school,dps international school,77.19
GEMS International School,euro international school sec 84,gems international school,euro international school sec 84,77.19
Gems International School,euro international school sec 51,gems international school,euro international school sec 51,77.19
S N International School,lotus valley international school,s n international school,lotus valley international school,77.19
RPS International School,lotus valley international school,rps international school,lotus valley international school,77.19
Swastik Multispeciality Hospital,Shri Balaji’s Multispeciality Hospital,swastik multispeciality hospital,shri balaji’s multispeciality hospital,77.14
SPM Hospital,Kamal Hospital,spm hospital,kamal hospital,76.92
Orchid Business Park,Emaar Business Park,orchid business park,emaar business park,76.92
Arc Hospital,Civil Hospital,arc hospital,civil hospital,76.92
GD Goenka School,g d goenka world school,gd goenka school,g d goenka world school,76.92
SPM Hospital,Sethi Hospital,spm hospital,sethi hospital,76.92
K.D. Hospital,Kriti Hospital,k d hospital,kriti hospital,76.92
SPM Hospital,Tomar Hospital,spm hospital,tomar hospital,76.92
SPM Hospital,paras hospital,spm hospital,paras hospital,76.92
Vatika Business Park,Spaze Business Park,vatika business park,spaze business park,76.92
NH 48,nh 248 a,nh 48,nh 248 a,76.92
Garhi Harsaru Junction,PHC Garhi Harsaru,garhi harsaru junction,phc garhi harsaru,76.92
RPS International School,Windsor International School,rps international school,windsor international school,76.92
NH 148A,NH 248,nh 148a,nh 248,76.92
NH-48,nh 248 a,nh 48,nh 248 a,76.92
DPS International School,Windsor International School,dps international school,windsor international school,76.92
Delhi Public School,Gaytri Public School,delhi public school,gaytri public school,76.92
Ambience Public School,MDS Public School,ambience public school,mds public school,76.92
MKD Hospital,Mamta Hospital,mkd hospital,mamta hospital,76.92
MKD Hospital,Tomar Hospital,mkd hospital,tomar hospital,76.92
MKD Hospital,Vedic Hospital,mkd hospital,vedic hospital,76.92
MKD Hospital,Kamal Hospital,mkd hospital,kamal hospital,76.92
CD International School,Scottish International School,cd international school,scottish international school,76.92
SPM Hospital,Mamta Hospital,spm hospital,mamta hospital,76.92
K.D. Hospital,Kamal Hospital,k d hospital,kamal hospital,76.92
Arc Hospital,ektaa hospital,arc hospital,ektaa hospital,76.92
Lancers International School,DPS International School,lancers international school,dps international school,76.92
S N International School,Windsor International School,s n international school,windsor international school,76.92
SPM Hospital,Umkal Hospital,spm hospital,umkal hospital,76.92
Umkal Hospital,K.D. Hospital,umkal hospital,k d hospital,76.92
Lions Public School,Garima Public School,lions public school,garima public school,76.92
Delhi Public School,Garima Public School,delhi public school,garima public school,76.92
SGT Hospital 1,K.D. Hospital,sgt hospital 1,k d hospital,76.92
Pushpanjali Hospital,sanjeevani hospital,pushpanjali hospital,sanjeevani hospital,76.92
City Hospital,ESIC Hospital,city hospital,esic hospital,76.92
City Hospital,ESIC HOSPITAL,city hospital,esic hospital,76.92
Sector 55-56 metro,Rapid Metro Sector 56,sector 55 56 metro,rapid metro sector 56,76.92
Sector 55-56 Metro,Rapid Metro Sector 56,sector 55 56 metro,rapid metro sector 56,76.92
Heritage School,Imperial Heritage School,heritage school,imperial heritage school,76.92
ORCHIDS The International School,lotus valley international school,orchids the international school,lotus valley international school,76.92
Gurugram Public School,MDS Public School,gurugram public school,mds public school,76.92
SGT Hospital 1,SPM Hospital,sgt hospital 1,spm hospital,76.92
MKD Hospital,Kriti Hospital,mkd hospital,kriti hospital,76.92
Gaytri Public School,Lions Public School,gaytri public school,lions public school,76.92
Garhi harsaru railway station Gurgaon,gurgaon railway station,garhi harsaru railway station gurgaon,gurgaon railway station,76.67
ORCHIDS The International School,Lancers International School,orchids the international school,lancers international school,76.67
Ascendas OneHub Gurgaon,Ascendas OneHub Gurgaon Business Park,ascendas onehub gurgaon,ascendas onehub gurgaon business park,76.67
Euro International School,Bharti International Convent School,euro international school,bharti international convent school,76.67
Huda metro station,Huda Metro Station (Gurugram),huda metro station,huda metro station (gurugram),76.6
Huda Metro Station (Gurugram),HUDA Metro Station,huda metro station (gurugram),huda metro station,76.6
